lagging_current_reactive_power_kvarh,leading_current_reactive_power_kvarh,co2_tco2,lagging_current_power_factor,leading_current_power_factor,nsm,mixed_type_col,usage_kwh
5.22,0.0,0.0,50.08,100.0,16200,904.0,3.02
49.9,0.0,0.04,86.87,100.0,31500,798.0,87.52
4.93,0.0,0.0,54.08,100.0,10800,193.0,3.17
3.71,0.0,0.0,66.57,100.0,2700,247.0,3.31
0.0,5.4,0.0,100.0,19.94,67500,173.0,4.46
0.0,5.4,0.0,100.0,21.81,63900,786.0,2.63
22.97,0.0,0.02,88.95,100.0,57600,158.0,44.71
0.0,5.4,0.0,100.0,28.76,45900,812.0,5.08
18.86,0.0,0.02,94.43,100.0,36000,687.0,54.14
22.03,0.0,0.02,88.55,100.0,54000,392.0,41.98
0.0,5.4,0.0,100.0,100.0,76500,220.0,5.44
51.48,0.0,0.04,97.465,100.0,40500,629.0,94.86
24.66,0.0,0.02,83.8,100.0,66600,224.0,37.87
4.39,0.0,0.0,58.54,100.0,84600,846.0,3.17
4.46,0.0,0.0,54.25,100.0,14400,160.0,2.88
5.15,0.0,0.0,49.7,100.0,14400,980.0,2.95
6.95,0.68,0.01,97.7,99.98,65700,792.0,31.86
2.7,0.04,0.0,76.43,99.99,8100,259.0,3.2
0.0,5.4,0.0,100.0,19.26,53100,507.0,3.49
29.84,0.0,0.05,96.15,100.0,57600,813.0,104.44
3.85,0.0,0.0,55.37,100.0,83700,11.0,125.19
3.13,0.0,0.0,80.52,99.87,9000,561.0,4.25
4.97,0.0,0.0,51.04,100.0,0,797.0,2.95
0.0,5.4,0.0014121835504419,100.0,18.21,63000,173.0,3.06
3.42,0.0,0.0,71.82,100.0,27900,773.0,3.53
3.6,0.0,0.01,99.39,100.0,39600,365.0,32.54
22.43,0.0,0.02,91.74,100.0,51300,813.0,51.7
27.04,0.0,0.04,94.98,100.0,71100,616.0,40.555
2.56,1.12,0.01,99.65,99.93,42300,309.0,30.38
46.69,0.0,0.05,90.96,100.0,51300,58.0,102.2
0.18,5.4,0.02,100.0,98.74,76500,974.0,35.53
29.92,0.0,0.02,86.02,100.0,40500,716.0,50.47
40.61,0.0,0.05,81.32,100.0,52200,297.0,56.74
3.2,0.0,0.0,68.64,100.0,20700,323.0,3.02
20.45,0.0,0.03,94.78,100.0,37800,555.0,60.8
0.0,5.4,0.0,100.0,19.26,73800,737.0,3.56
6.19,0.0,0.0,44.78,100.0,7200,426.0,3.1
6.41,0.0,0.0,42.27,100.0,22500,422.0,125.19
4.46,0.0,0.0,57.93,100.0,21600,403.0,3.17
0.0,5.4,0.0,100.0,26.1,45900,785.0,4.5
45.5,0.0,0.04,87.61,100.0,40500,728.0,82.66
0.0,5.4,0.0,100.0,17.91,53100,377.0,4.07
4.5,0.0,0.0,68.32,100.0,9000,969.0,4.21
23.15,0.0,0.02,91.24,100.0,39600,648.0,51.59
3.67,0.0,0.0,59.26,100.0,23400,239.0,2.7
6.01,0.0,0.0,55.41,100.0,81900,394.0,4.0
5.26,0.0,0.0,44.72,100.0,21600,759.0,2.63
49.68,0.0,0.04,88.85,100.0,53100,267.0,96.19
3.64,0.0,0.0,65.67,100.0,3600,361.0,3.13
5.76,0.0,0.0,43.34,100.0,16200,843.0,2.77
0.0,0.04,0.0,100.0,24.5,35100,135.0,3.02
3.02,0.11,0.0,77.22,99.96,5400,240.0,3.67
54.885,0.0,0.03,79.6,100.0,66600,808.0,72.43
6.91,0.18,0.0,49.34,99.89,80100,569.0,125.19
23.98,0.0,0.04,95.45,100.0,62100,940.0,76.79
5.15,0.0,0.0,66.94,100.0,81900,482.0,4.64
37.58,0.0,0.05,94.39,100.0,54000,4.0,107.42
0.0,5.4,0.01,100.0,96.52,63900,199.0,27.9
0.0,5.4,0.0,100.0,24.86,75600,245.0,6.34
5.76,0.0,0.0,47.75,100.0,21600,401.0,3.13
23.83,0.0,0.01,71.66,100.0,30600,632.0,24.48
0.94,2.63,0.02,99.96,99.69,56700,978.0,33.12
6.73,0.0,0.0,46.76,100.0,24300,291.0,3.56
3.53,0.0,0.0,65.01,100.0,82800,729.0,3.02
19.3,0.0,0.01,73.84,100.0,29700,572.0,21.13
5.11,0.0,0.0,50.0,100.0,16200,831.0,2.95
2.02,0.25,0.0,82.24,99.64,19800,824.0,2.92
37.73,0.0,0.04,90.85,100.0,41400,685.0,82.04
32.04,0.0,0.03,86.22,100.0,2700,636.0,54.54
0.0,5.4,0.0,100.0,27.11,45000,415.0,5.0
38.99,0.0,0.04,89.25,100.0,35100,838.0,77.15
54.885,0.0,0.05,86.45,100.0,30600,750.0,125.19
49.68,0.0,0.05,90.42,100.0,40500,556.0,105.16
0.0,5.4,0.0,100.0,20.02,74700,218.0,3.67
5.36,0.0,0.0,47.33,100.0,81900,634.0,2.88
0.0,5.08,0.0,100.0,46.93,84600,847.0,2.7
4.28,0.0,0.0014952531710561,60.36,100.0,24300,164.0,3.24
3.92,0.0,0.0,78.52,100.0,81000,120.0,4.97
0.0,5.4,0.0,100.0,30.97,45900,116.0,7.81
54.885,0.0,0.03,73.11,100.0,31500,56.0,3.42
4.82,0.0,0.0,67.08,100.0,28800,948.0,4.36
32.72,0.0,0.03,91.58,100.0,63000,894.0,74.63
31.36,0.0,0.02,79.51,100.0,15300,694.0,41.11
54.885,0.0,0.03,68.12,100.0,31500,375.0,56.84
4.14,0.0,0.0,71.63,100.0,18000,75.0,4.25
5.47,1.48,0.01,97.95,99.85,47700,711.0,26.57
3.56,0.0,0.0,68.09,100.0,13500,873.0,3.31
2.88,0.0,0.0,87.83,100.0,3600,291.0,5.29
52.31,0.0,0.05,92.29,100.0,53100,877.0,125.19
11.27,0.0,0.02,95.85,100.0,36000,253.0,37.87
54.885,0.0,0.05,87.59,100.0,56700,219.0,120.13
15.08,0.25,0.03,97.35,100.0,79200,806.0,64.15
24.23,0.0,0.03,94.6,100.0,69300,157.0,70.74
54.11,0.0,0.05,93.62,100.0,67500,180.0,125.19
2.77,0.0,0.0,46.93,100.0,3600,826.0,2.7
3.56,0.0,0.0,74.37,100.0,27900,633.0,3.96
11.84,0.04,0.02,97.03,100.0,72900,172.0,47.45
0.0,5.4,0.01,100.0,90.12,57600,41.0,26.57
6.16,0.0,0.0,39.27,100.0,28800,500.0,2.63
5.47,0.0,0.0,45.18,100.0,9900,524.0,2.77
5.33,0.0,0.0,75.99,100.0,8100,300.0,6.23
35.42,0.0,0.03,90.6,100.0,40500,122.0,75.82
40.43,0.0,0.04,88.78,100.0,14400,460.0,78.01
4.03,0.0,0.0,61.83,100.0,9000,291.0,3.17
29.16,0.32,0.03,88.59,100.0,47700,579.0,55.69
34.24,0.0,0.04,93.73,100.0,70200,950.0,92.09
19.73,0.0,0.02,93.96,100.0,57600,548.0,54.18
2.74,0.0,0.0,75.24,100.0,5400,592.0,3.13
54.885,0.0,0.05,88.53,100.0,42300,786.0,125.19
12.42,0.0,0.02,93.88,100.0,52200,4.0,33.84
5.87,0.0,0.0,67.43,100.0,27000,173.0,5.36
0.0,5.4,0.0,100.0,29.35,42300,395.0,2.84
3.28,0.0,0.0,73.26,100.0,0,123.0,3.53
4.86,0.0,0.0,57.1,100.0,2700,725.0,3.38
54.885,0.0,0.03,70.6,100.0,30600,316.0,56.63
36.14,0.0,0.04,92.57,100.0,37800,799.0,88.42
5.0,0.0,0.0,62.985,100.0,9900,449.0,3.56
0.0,5.4,0.0,100.0,20.38,33300,34.0,2.84
0.0,5.4,0.0,100.0,24.66,46800,386.0,5.76
0.0,5.4,0.0,100.0,15.36,48600,743.0,4.14
54.58,0.0,0.02,68.84,100.0,42300,572.0,51.8
49.07,0.0,0.03,84.08,100.0,73800,825.0,76.21
2.99,0.22,0.0,78.11,99.83,1800,325.0,3.74
2.41,0.58,0.0,92.51,99.52,28800,681.0,5.87
5.04,0.0,0.0,49.09,100.0,900,381.0,2.84
2.3,0.14,0.0,82.44,99.91,20700,287.0,3.35
41.47,0.0,0.05,92.34,100.0,61200,577.0,99.76
3.89,0.0,0.0,59.5,100.0,15300,969.0,2.88
0.0,5.4,0.0,100.0,17.4,76500,92.0,2.95
3.42,5.4,0.0,77.1,99.96,10800,466.0,4.14
1.51,5.4,0.05,93.95,28.49,80100,383.0,4.14
1.4,5.4,0.0,94.17,26.27,80100,330.0,3.92
5.08,0.22,0.02,99.2,100.0,35100,335.0,40.0
22.14,0.0,0.03,90.96,100.0,52200,865.0,58.18
4.18,0.0,0.0,68.41,100.0,84600,943.0,3.92
0.0,5.4,0.0,100.0,15.44,79200,833.0,4.14
33.3,0.0,0.05,95.69,100.0,38700,847.0,109.73
16.13,0.61,0.02,90.81,99.98,65700,622.0,34.99
4.86,0.0,0.0,50.45,100.0,18000,305.0,2.84
53.89,0.0,0.05,91.58,100.0,52200,806.0,122.87
33.44,0.0,0.02,72.44,100.0,29700,91.0,35.14
4.54,0.0,0.0,52.63,100.0,16200,977.0,2.81
11.95,0.0,0.02,97.65,100.0,36900,213.0,54.18
35.86,0.0,0.02,83.2,100.0,52200,845.0,53.78
7.34,1.8,0.03,99.38,99.96,71100,673.0,65.41
0.0,5.4,0.0,100.0,19.53,51300,392.0,3.92
7.45,0.0,0.0,55.5,100.0,81900,316.0,4.97
0.0,4.46,0.0,100.0,50.79,65700,338.0,2.63
3.96,0.0,0.0,58.28,100.0,9000,366.0,2.84
4.72,0.0,0.0,47.68,100.0,29700,819.0,2.56
4.21,0.0,0.0,59.29,100.0,16200,219.0,3.1
19.44,0.0,0.02,94.1,100.0,73800,172.0,54.07
27.58,0.0,0.03,89.45,100.0,61200,488.0,55.19
3.6,0.0,0.0,73.39,100.0,11700,180.0,3.89
2.52,0.4,0.0,80.83,99.34,80100,679.0,3.46
12.71,0.0,0.02,96.59,100.0,54000,425.0,47.45
1.91,0.32,0.0,71.42500000000001,99.52,84600,862.0,3.24
10.69,0.0,0.0,46.53,100.0,10800,176.0,5.62
7.06,0.0,0.05,95.18,100.0,33300,358.0,109.91
23.47,0.0,0.03,92.76,100.0,54000,919.0,58.28
5.29,0.0,0.0,74.68,100.0,85500,109.0,5.94
4.25,0.0,0.0,55.15,100.0,13500,30.0,2.81
0.0,5.4,0.0,100.0,16.18,45000,455.0,2.81
5.33,0.0,0.0,55.97,100.0,22500,210.0,3.6
5.18,0.0,0.0,50.86,100.0,12600,38.0,3.06
34.38,0.0,0.04,91.53,100.0,36000,991.0,78.12
5.08,0.0,0.0,52.94,100.0,22500,262.0,3.17
10.15,0.11,0.03,98.73,100.0,32400,45.0,63.11
54.36,0.0,0.02,65.71,100.0,30600,116.0,47.38
0.0,5.4,0.0,100.0,21.61,69300,27.0,3.49
49.97,0.5,0.01,99.24,99.97,42300,395.0,21.24
38.84,0.0,0.03,84.09,100.0,48600,609.0,60.34
7.67,0.0,0.0,52.41,100.0,82800,209.0,4.72
2.77,0.0,0.0,77.34,100.0,13500,274.0,3.38
6.01,0.0,0.0,44.9,100.0,25200,428.0,3.02
0.76,5.4,0.0,94.785,47.39,44100,490.0,6.84
3.49,0.0,0.0,81.62,100.0,900,621.0,4.93
28.69,0.0,0.02,80.85,100.0,1800,174.0,39.42
0.0,5.4,0.0,100.0,35.17,48600,340.0,2.84
5.11,0.0,0.0,46.72,100.0,4500,469.0,2.7
6.77,0.0,0.0,49.14,100.0,83700,591.0,3.82
0.0,5.4,0.01,100.0,94.95,64800,933.0,32.69
2.12,0.22,0.0,83.12,99.76,27000,149.0,3.17
0.0,5.4,0.0,100.0,16.11,77400,649.0,2.81
4.57,0.0,0.0,64.13,100.0,82800,217.0,3.82
50.4,0.0,0.04,88.1,100.0,74700,549.0,93.85
32.94,0.0,0.03,88.36,100.0,72000,790.0,62.17
0.0,5.4,0.0,100.0,20.52,32400,191.0,3.82
4.39,0.0,0.0,59.38,100.0,10800,51.0,3.24
4.54,0.0,0.0,60.2,100.0,25200,808.0,2.88
6.01,0.36,0.0,78.71,99.89,31500,150.0,7.67
3.49,0.0,0.0,74.43,100.0,13500,971.0,3.89
5.51,0.0,0.0,46.32,100.0,2700,976.0,2.88
1.73,0.65,0.01,99.85,99.98,63900,40.0,31.36
23.51,0.0,0.03,94.84,100.0,75600,698.0,70.34
39.28,0.0,0.03,82.81,100.0,40500,81.0,58.03
0.18,5.4,0.01,100.0,97.57,64800,6.0,31.43
4.46,0.0,0.0,83.77,100.0,27900,521.0,6.84
6.19,0.0,0.0,69.48,100.0,1800,635.0,5.98
4.86,0.0,0.0,49.11,100.0,84600,539.0,2.74
0.0,5.4,0.0,100.0,18.75,51300,328.0,3.1
0.0,5.4,0.0,100.0,24.32,79200,60.0,3.6
0.0,5.4,0.0,100.0,23.75,33300,252.0,4.18
41.26,0.0,0.05,94.71,100.0,33300,711.0,121.79
5.9,0.0,0.0,43.0,100.0,1800,932.0,2.81
4.86,0.0,0.0,49.11,100.0,3600,907.0,2.74
24.95,0.0,0.02,90.27,100.0,53100,633.0,52.34
28.135,0.0,0.05,90.96,100.0,70200,660.0,111.78
5.18,0.0,0.0,67.04,100.0,82800,58.0,4.68
13.68,0.0,0.02,94.71,100.0,55800,255.0,40.36
13.82,0.22,0.01,91.56,100.0,40500,321.0,31.46
4.82,0.0,0.0,54.09,100.0,27000,209.0,3.1
4.86,0.0,0.0,58.33,100.0,24300,718.0,3.49
4.86,0.0,0.0,54.63,100.0,10800,196.0,3.17
53.1,0.0,0.03,81.1,100.0,31500,210.0,73.62
0.0,5.4,0.0,100.0,18.1,46800,321.0,3.71
16.34,0.0,0.02,91.97,100.0,35100,699.0,38.27
54.885,0.0,0.0,73.28,100.0,21600,331.0,3.92
2.2,0.0,0.0,82.73,100.0,25200,943.0,3.24
15.7,5.4,0.02,93.15,98.01,47700,332.0,40.21
0.0,5.4,0.0,100.0,22.81,77400,803.0,4.1
0.0,5.4,0.0,100.0,17.35,78300,335.0,4.28
4.75,0.0,0.0,66.68,100.0,22500,146.0,4.25
54.885,0.0,0.04,81.71,100.0,30600,632.0,95.83
4.1,0.0,0.05,65.56,100.0,81900,589.0,3.56
0.0,5.4,0.0,100.0,19.2,45900,710.0,5.15
29.45,0.0,0.03,93.01,100.0,58500,232.0,74.56
33.44,0.0,0.04,92.81,100.0,39600,320.0,83.38
0.0,5.4,0.0,100.0,18.69,45000,801.0,3.13
54.885,0.0,0.05,85.82,100.0,32400,954.0,125.19
3.96,0.0,0.0,63.89,100.0,0,549.0,4.79
30.96,0.0,0.03,88.35,100.0,40500,659.0,58.39
24.8,0.0,0.03,93.02,100.0,37800,72.0,62.86
21.85,0.0,0.04,97.61,100.0,54000,480.0,98.14
35.86,0.0,0.03,90.13,100.0,30600,156.0,74.59
0.0,5.4,0.0,100.0,21.97,57600,572.0,2.66
6.05,0.0,0.0,49.21,100.0,20700,528.0,3.42
0.0,5.4,0.0,100.0,26.1,72000,234.0,4.18
4.1,0.0,0.0,66.39,100.0,25200,131.0,3.64
0.0,5.4,0.0,100.0,30.91,43200,198.0,3.24
4.61,0.0,0.0,53.51,100.0,25200,557.0,2.92
36.83,0.0,0.05,93.7,100.0,50400,394.0,98.75
4.93,0.0,0.0,66.84,100.0,2700,980.0,4.43
1.04,5.4,0.0,96.42,55.13,31500,24.0,3.78
1.94,0.36,0.0,64.47,99.32,17100,16.0,3.06
54.885,0.0,0.05,94.01,100.0,66600,449.0,112.28
30.96,0.0,0.03,87.27,100.0,67500,413.0,55.33
3.1,0.0,0.0,74.48,100.0,81000,67.0,3.46
6.19,0.0,0.0,41.34,100.0,19800,427.0,2.81
6.23,0.0,0.0,50.76,100.0,18900,966.0,3.67
3.71,0.0,0.0,64.12,100.0,0,515.0,3.1
8.64,0.0,0.01,95.99,100.0,66600,388.0,29.59
5.0,0.0,0.0,60.31,100.0,5400,943.0,3.78
54.885,0.0,0.04,89.75,100.0,37800,84.0,97.06
4.21,0.0,0.0,68.51,100.0,27900,695.0,3.96
3.42,0.04,0.0,77.4,100.0,10800,570.0,4.18
0.25,5.4,0.01,99.99,96.99,34200,746.0,24.08
31.75,0.0,0.03,86.94,100.0,57600,200.0,55.87
34.2,0.0,0.03,85.87,100.0,900,295.0,57.31
21.24,0.0,0.02,91.45,100.0,40500,464.0,48.02
5.58,0.0,0.0,42.63,100.0,13500,182.0,2.63
41.36,0.0,0.04,91.63,100.0,71100,14.0,94.64
0.29,2.95,0.01,99.99,99.35,72000,410.0,25.67
3.38,0.07,0.0,76.06,99.98,13500,431.0,3.96
0.0,5.4,0.0,100.0,21.72,77400,733.0,3.1
4.25,0.0,0.0,59.79,100.0,7200,521.0,3.17
20.23,0.0,0.02,93.33,100.0,68400,220.0,52.56
4.57,0.0,0.0,49.88,100.0,1800,561.0,2.63
18.61,0.0,0.05,98.29,100.0,63900,542.0,99.29
38.38,0.0,0.03,89.17,100.0,34200,280.0,75.6
5.44,0.0,0.0013614187822887,47.67,100.0,2700,280.0,2.95
0.0,5.4,0.0,100.0,26.33,32400,766.0,4.46
1.4,5.4,0.0,95.08,57.38,44100,77.0,7.16
0.0,5.4,0.0,100.0,20.39,54900,29.0,3.06
0.0,5.4,0.0,100.0,37.15,45000,787.0,10.3
4.14,0.0,0.0,53.04,100.0,14400,577.0,2.59
0.0,5.4,0.0,100.0,23.68,76500,623.0,4.36
0.0,5.4,0.0,100.0,21.53,79200,174.0,5.65
25.88,0.0,0.03,90.27,100.0,70200,413.0,64.87
4.97,0.0,0.0,60.94,100.0,27900,345.0,3.82
34.45,0.0,0.03,89.05,100.0,61200,366.0,67.43
40.5,0.0,0.04,91.48,100.0,72900,265.0,91.73
19.87,0.0,0.01,76.17,100.0,31500,477.0,23.36
34.2,0.0,0.03,90.87,100.0,61200,202.0,68.8
13.5,3.56,0.03,98.42,99.89,64800,129.0,75.06
54.36,0.0,0.05,88.79,100.0,40500,87.0,104.9
7.52,0.0,0.0,51.01,100.0,11700,405.0,4.46
36.79,0.0,0.03,84.65,100.0,69300,853.0,58.5
0.0,5.4,0.0,100.0,27.45,64800,571.0,3.74
22.07,0.0,0.02,92.53,100.0,33300,859.0,53.86
0.0,5.4,0.0,100.0,17.33,74700,594.0,3.06
5.22,0.0,0.0,66.75,100.0,83700,939.0,4.68
7.52,1.3,0.02,100.0,99.95,58500,706.0,40.86
6.26,0.0,0.0,47.94,100.0,24300,813.0,3.42
0.0,5.4,0.01,100.0,92.53,36900,121.0,27.4
36.83,0.0,0.02,79.55,100.0,41400,703.0,48.35
14.26,0.0,0.02,96.14,100.0,62100,846.0,49.82
3.82,0.0,0.0,68.58,100.0,16200,428.0,3.6
31.61,0.0,0.03,89.68,100.0,49500,835.0,64.08
1.15,2.59,0.0,95.42,81.7,80100,58.0,3.67
0.04,5.4,0.01,100.0,95.08,55800,39.0,25.74
42.91,0.0,0.05,92.54,100.0,50400,511.0,104.8
4.14,0.0,0.0,83.73,100.0,27900,612.0,6.34
32.4,0.0,0.02,71.82,100.0,30600,643.0,33.44
36.68,0.0,0.02,69.5,100.0,29700,931.0,35.46
0.0,5.4,0.0,100.0,19.4,77400,760.0,5.26
4.0,0.0,0.0014444884029029,61.63,100.0,14400,247.0,3.13
22.57,0.0,0.01,79.93,100.0,11700,520.0,30.02
4.97,0.0,0.0,51.93,100.0,26100,590.0,3.02
5.15,0.0,0.0,70.43,100.0,21600,316.0,5.11
15.26,0.0,0.02,94.23,100.0,59400,258.0,42.95
54.885,0.0,0.04,97.05,100.0,49500,544.0,94.57
25.06,0.0,0.02,89.35,100.0,43200,32.0,49.86
1.51,5.4,0.0,98.32,37.55,44100,524.0,8.14
1.91,0.32,0.0,84.83,99.46,24300,480.0,3.06
52.78,0.0,0.03,80.55,100.0,42300,970.0,71.75
4.28,0.0,0.0,59.03,100.0,84600,374.0,3.13
25.2,0.0,0.03,92.6,100.0,39600,724.0,61.81
37.44,0.0,0.03,83.32,100.0,43200,573.0,56.41
4.64,0.0,0.0,51.26,100.0,8100,750.0,2.77
49.0,0.0,0.03,83.83,100.0,41400,745.0,75.35
20.09,1.91,0.03,94.16,99.94,47700,411.0,56.2
3.24,5.4,0.01,97.29,59.18,44100,394.0,13.64
25.67,0.0,0.03,93.65,100.0,57600,131.0,68.58
29.66,0.0,0.03,88.07,100.0,35100,605.0,55.15
24.62,0.0,0.02,89.42,100.0,33300,126.0,49.18
54.885,0.0,0.0,51.19,100.0,27900,442.0,4.57
0.0,0.0,0.0,100.0,16.73,68400,137.0,3.78
52.27,0.0,0.04,87.4,100.0,41400,448.0,94.0
32.15,0.0,0.02,86.02,100.0,60300,59.0,54.22
4.72,0.04,0.0,51.15,100.0,29700,411.0,2.81
1.3,5.4,0.05,99.92,97.87,63900,623.0,31.72
4.93,0.0,0.0,46.08,100.0,21600,709.0,2.56
5.47,0.0,0.0,49.31,100.0,10800,893.0,3.1
5.18,0.0,0.0,56.64,100.0,11700,824.0,3.56
3.56,0.0,0.0,58.83,100.0,21600,543.0,2.59
5.72,0.0,0.0,44.09,100.0,19800,325.0,2.81
1.3,1.69,0.01,99.92,99.86,35100,31.0,32.36
4.18,0.0,0.0,69.41,100.0,81900,904.0,4.03
3.67,0.0,0.0,73.68,100.0,21600,135.0,4.0
7.06,0.0,0.03,90.24,100.0,33300,407.0,54.79
1.4,1.84,0.01,99.87,99.78,50400,939.0,27.86
0.0,5.4,0.0,100.0,99.99,75600,128.0,3.1
54.885,0.0,0.03,92.85,100.0,60300,775.0,71.14
3.78,0.0,0.0013798786979808,62.04,100.0,26100,954.0,2.99
0.0,5.4,0.0,100.0,15.29,60300,309.0,4.0
7.6,0.4,0.02,98.27,100.0,54000,790.0,40.32
5.51,0.0,0.0,47.7,100.0,26100,157.0,2.99
5.22,0.0,0.0,58.65,100.0,3600,573.0,3.78
3.74,0.0,0.0,62.44,100.0,19800,174.0,2.99
4.46,2.23,0.02,99.17,99.79,32400,13.0,34.31
5.36,0.0,0.0015967827073624,54.23,100.0,9000,38.0,3.46
0.0,5.4,0.0,100.0,15.0,74700,831.0,3.53
0.0,5.4,0.01,100.0,97.02,64800,278.0,29.84
4.82,0.0,0.0,70.19,100.0,81900,593.0,4.75
41.69,0.0,0.05,93.28,100.0,56700,470.0,46.12
4.0,0.0,0.0,67.3,100.0,10800,419.0,3.64
50.58,0.0,0.04,85.9,100.0,41400,836.0,84.85
54.885,0.0,0.05,79.74,100.0,30600,917.0,125.19
0.14,5.4,0.01,100.0,96.56,76500,97.0,37.89
49.46,0.0,0.05,91.88,100.0,38700,236.0,115.16
20.34,0.0,0.02,90.09,100.0,35100,290.0,42.23
0.0,5.4,0.0,100.0,23.72,48600,374.0,2.84
3.06,0.0,0.0,77.72,100.0,26100,569.0,3.78
1.33,4.68,0.0,91.16,53.32,80100,413.0,2.95
4.75,0.0,0.0,58.56,100.0,4500,397.0,3.02
1.19,5.4,0.0,94.0,30.56,80100,675.0,3.28
7.52,0.0,0.0,66.3,100.0,27000,807.0,6.66
32.33,0.0,0.02,84.6,100.0,61200,515.0,51.3
5.76,0.0,0.0,41.93,100.0,17100,561.0,2.66
6.26,0.0,0.0,60.77,100.0,81000,878.0,4.79
0.0,5.4,0.0,100.0,16.09,72000,261.0,2.81
30.85,0.0,0.02,85.93,100.0,33300,561.0,51.84
0.0,5.4,0.0,100.0,19.12,76500,802.0,3.17
21.1,5.4,0.02,91.67,100.0,59400,869.0,48.42
4.9,0.0,0.0,77.14,100.0,15300,964.0,5.94
0.9,5.4,0.0,96.9,24.21,80100,29.0,3.53
54.885,0.0,0.04,85.28,100.0,59400,752.0,125.19
54.885,0.0,0.05,87.57,100.0,41400,997.0,116.1
4.9,0.0,0.01,68.66,100.0,29700,515.0,29.34
4.75,0.0,0.0,55.51,100.0,18000,556.0,3.17
0.0,4.9,0.0,100.0,54.68,66600,72.0,3.2
23.4,0.0,0.03,93.1,100.0,69300,229.0,59.69
35.42,0.0,0.04,92.38,100.0,70200,754.0,85.43
